Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Thu Feb 22 2024,8:00p,Los Angeles Clippers,107,Oklahoma City Thunder,129,Box Score,,18203,2:00,Paycom Center,
Thu Feb 22 2024,9:00p,Washington Wizards,110,Denver Nuggets,130,Box Score,,19621,2:03,Ball Arena,
Thu Feb 22 2024,9:00p,Charlotte Hornets,115,Utah Jazz,107,Box Score,,18206,2:14,Delta Center,
Thu Feb 22 2024,10:00p,Los Angeles Lakers,110,Golden State Warriors,128,Box Score,,18064,2:15,Chase Center,
Thu Feb 22 2024,10:00p,San Antonio Spurs,122,Sacramento Kings,127,Box Score,,18153,2:03,Golden 1 Center,
Fri Feb 23 2024,7:30p,Toronto Raptors,123,Atlanta Hawks,121,Box Score,,17625,2:09,State Farm Arena,
Fri Feb 23 2024,7:30p,Cleveland Cavaliers,97,Philadelphia 76ers,104,Box Score,,19938,2:19,Wells Fargo Center,
Fri Feb 23 2024,8:00p,Phoenix Suns,110,Houston Rockets,114,Box Score,,18055,2:32,Toyota Center,
Fri Feb 23 2024,8:00p,Los Angeles Clippers,101,Memphis Grizzlies,95,Box Score,,17255,2:12,FedEx Forum,
Fri Feb 23 2024,8:00p,Miami Heat,106,New Orleans Pelicans,95,Box Score,,18658,2:26,Smoothie King Center,
Fri Feb 23 2024,8:00p,Washington Wizards,106,Oklahoma City Thunder,147,Box Score,,18203,2:03,Paycom Center,
Fri Feb 23 2024,10:00p,Charlotte Hornets,84,Golden State Warriors,97,Box Score,,18064,2:08,Chase Center,
Fri Feb 23 2024,10:00p,Milwaukee Bucks,112,Minnesota Timberwolves,107,Box Score,,18024,2:17,Target Center,
Fri Feb 23 2024,10:00p,Denver Nuggets,127,Portland Trail Blazers,112,Box Score,,18898,2:08,Moda Center,
Fri Feb 23 2024,10:30p,San Antonio Spurs,118,Los Angeles Lakers,123,Box Score,,18997,2:12,Crypto.com Arena,
Sat Feb 24 2024,8:00p,Orlando Magic,112,Detroit Pistons,109,Box Score,,19388,2:09,Little Caesars Arena,
Sat Feb 24 2024,8:30p,Boston Celtics,116,New York Knicks,102,Box Score,,19812,2:07,Madison Square Garden (IV),
Sat Feb 24 2024,9:00p,Brooklyn Nets,86,Minnesota Timberwolves,101,Box Score,,18024,2:20,Target Center,
Sun Feb 25 2024,1:00p,Milwaukee Bucks,119,Philadelphia 76ers,98,Box Score,,19831,2:14,Wells Fargo Center,
Sun Feb 25 2024,3:30p,Los Angeles Lakers,113,Phoenix Suns,123,Box Score,,17071,2:20,Footprint Center,
Sun Feb 25 2024,5:00p,Dallas Mavericks,111,Indiana Pacers,133,Box Score,,17274,2:05,Gainbridge Fieldhouse,
Sun Feb 25 2024,6:00p,Cleveland Cavaliers,114,Washington Wizards,105,Box Score,,17895,2:14,Capital One Arena,
Sun Feb 25 2024,7:00p,Orlando Magic,92,Atlanta Hawks,109,Box Score,,17173,2:06,State Farm Arena,
Sun Feb 25 2024,7:00p,Denver Nuggets,119,Golden State Warriors,103,Box Score,,18064,2:21,Chase Center,
Sun Feb 25 2024,7:00p,Oklahoma City Thunder,123,Houston Rockets,110,Box Score,,18055,2:11,Toyota Center,
Sun Feb 25 2024,7:00p,Chicago Bulls,114,New Orleans Pelicans,106,Box Score,,18684,2:05,Smoothie King Center,
Sun Feb 25 2024,8:00p,San Antonio Spurs,109,Utah Jazz,128,Box Score,,18206,2:13,Delta Center,
Sun Feb 25 2024,9:00p,Charlotte Hornets,93,Portland Trail Blazers,80,Box Score,,17888,1:56,Moda Center,
Sun Feb 25 2024,9:30p,Sacramento Kings,123,Los Angeles Clippers,107,Box Score,,19370,2:14,Crypto.com Arena,
Mon Feb 26 2024,7:00p,Toronto Raptors,130,Indiana Pacers,122,Box Score,,16026,2:19,Gainbridge Fieldhouse,
Mon Feb 26 2024,7:30p,Detroit Pistons,111,New York Knicks,113,Box Score,,19303,2:07,Madison Square Garden (IV),
Mon Feb 26 2024,8:00p,Brooklyn Nets,111,Memphis Grizzlies,86,Box Score,,15417,2:13,FedEx Forum,
Mon Feb 26 2024,10:00p,Miami Heat,121,Sacramento Kings,110,Box Score,,17832,2:07,Golden 1 Center,
Tue Feb 27 2024,7:00p,Dallas Mavericks,119,Cleveland Cavaliers,121,Box Score,,19432,2:05,Rocket Mortgage Fieldhouse,
Tue Feb 27 2024,7:00p,Brooklyn Nets,81,Orlando Magic,108,Box Score,,17708,2:15,Kia Center,
Tue Feb 27 2024,7:00p,Golden State Warriors,123,Washington Wizards,112,Box Score,,20333,2:01,Capital One Arena,
Tue Feb 27 2024,7:30p,Utah Jazz,97,Atlanta Hawks,124,Box Score,,17129,2:05,State Farm Arena,
Tue Feb 27 2024,7:30p,Philadelphia 76ers,99,Boston Celtics,117,Box Score,,19156,2:16,TD Garden,
Tue Feb 27 2024,7:30p,New Orleans Pelicans,115,New York Knicks,92,Box Score,,19812,2:09,Madison Square Garden (IV),
Tue Feb 27 2024,8:00p,Detroit Pistons,105,Chicago Bulls,95,Box Score,,21089,2:05,United Center,
Tue Feb 27 2024,8:00p,Charlotte Hornets,85,Milwaukee Bucks,123,Box Score,,17607,2:00,Fiserv Forum,
Tue Feb 27 2024,8:00p,San Antonio Spurs,105,Minnesota Timberwolves,114,Box Score,,18024,1:59,Target Center,
Tue Feb 27 2024,10:00p,Houston Rockets,95,Oklahoma City Thunder,112,Box Score,,17164,2:16,Paycom Center,
Tue Feb 27 2024,10:00p,Miami Heat,106,Portland Trail Blazers,96,Box Score,,18143,2:13,Moda Center,
Wed Feb 28 2024,7:30p,New Orleans Pelicans,114,Indiana Pacers,123,Box Score,,16010,2:16,Gainbridge Fieldhouse,
Wed Feb 28 2024,7:30p,Dallas Mavericks,136,Toronto Raptors,125,Box Score,,19800,2:09,Scotiabank Arena,
Wed Feb 28 2024,8:00p,Cleveland Cavaliers,123,Chicago Bulls,132,Box Score,2OT,21700,2:43,United Center,
Wed Feb 28 2024,8:00p,Memphis Grizzlies,101,Minnesota Timberwolves,110,Box Score,,18024,2:16,Target Center,
Wed Feb 28 2024,9:00p,Sacramento Kings,96,Denver Nuggets,117,Box Score,,19628,2:04,Ball Arena,
Wed Feb 28 2024,10:00p,Los Angeles Lakers,116,Los Angeles Clippers,112,Box Score,,19370,2:16,Crypto.com Arena,
Thu Feb 29 2024,7:00p,Milwaukee Bucks,111,Charlotte Hornets,99,Box Score,,18463,2:10,Spectrum Center,
Thu Feb 29 2024,7:00p,Utah Jazz,107,Orlando Magic,115,Box Score,,17848,2:15,Kia Center,
Thu Feb 29 2024,7:30p,Atlanta Hawks,97,Brooklyn Nets,124,Box Score,,17284,2:05,Barclays Center,
Thu Feb 29 2024,7:30p,Golden State Warriors,110,New York Knicks,99,Box Score,,19812,2:18,Madison Square Garden (IV),
Thu Feb 29 2024,8:30p,Oklahoma City Thunder,118,San Antonio Spurs,132,Box Score,,18392,2:10,Frost Bank Center,
Thu Feb 29 2024,9:00p,Houston Rockets,105,Phoenix Suns,110,Box Score,,17071,2:26,Footprint Center,
Thu Feb 29 2024,10:00p,Miami Heat,97,Denver Nuggets,103,Box Score,,19634,2:30,Ball Arena,
Thu Feb 29 2024,10:30p,Washington Wizards,131,Los Angeles Lakers,134,Box Score,OT,18997,2:22,Crypto.com Arena,
